timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715687192925,438,HTTP Request 187,200,,Thread Group 1-187,text,true,,315,324,661,661,http://localhost:8080/customer/add,438,0,96
1715687192925,438,HTTP Request 196,200,,Thread Group 1-196,text,true,,315,324,661,661,http://localhost:8080/customer/add,438,0,97
1715687192925,438,HTTP Request 120,200,,Thread Group 1-120,text,true,,315,324,661,661,http://localhost:8080/customer/add,438,0,96
1715687192925,439,HTTP Request 211,200,,Thread Group 1-211,text,true,,315,324,661,661,http://localhost:8080/customer/add,439,0,96
1715687192982,382,HTTP Request 279,200,,Thread Group 1-279,text,true,,315,324,661,661,http://localhost:8080/customer/add,382,0,40
1715687193002,362,HTTP Request 298,200,,Thread Group 1-298,text,true,,315,324,662,662,http://localhost:8080/customer/add,362,0,18
1715687192924,441,HTTP Request 19,200,,Thread Group 1-20,text,true,,311,320,665,665,http://localhost:8080/customer/add,438,0,96
1715687192986,384,HTTP Request 284,200,,Thread Group 1-284,text,true,,315,324,669,669,http://localhost:8080/customer/add,384,0,42
1715687193003,371,HTTP Request 299,200,,Thread Group 1-300,text,true,,315,324,672,672,http://localhost:8080/customer/add,371,0,25
1715687192927,450,HTTP Request 212,200,,Thread Group 1-212,text,true,,315,324,676,676,http://localhost:8080/customer/add,445,0,95
1715687192925,453,HTTP Request 147,200,,Thread Group 1-147,text,true,,315,324,676,676,http://localhost:8080/customer/add,452,0,95
1715687192925,453,HTTP Request 207,200,,Thread Group 1-207,text,true,,315,324,676,676,http://localhost:8080/customer/add,453,0,95
1715687192984,401,HTTP Request 282,200,,Thread Group 1-282,text,true,,315,324,682,682,http://localhost:8080/customer/add,401,0,37
1715687192925,460,HTTP Request 206,200,,Thread Group 1-206,text,true,,315,324,682,682,http://localhost:8080/customer/add,460,0,96
1715687192970,415,HTTP Request 268,200,,Thread Group 1-268,text,true,,315,324,682,682,http://localhost:8080/customer/add,415,0,51
1715687192924,464,HTTP Request 48,200,,Thread Group 1-49,text,true,,311,320,686,686,http://localhost:8080/customer/add,461,0,97
1715687192926,466,HTTP Request 224,200,,Thread Group 1-224,text,true,,315,324,690,690,http://localhost:8080/customer/add,466,0,95
1715687192924,471,HTTP Request 26,200,,Thread Group 1-26,text,true,,311,320,693,693,http://localhost:8080/customer/add,471,0,97
1715687192925,471,HTTP Request 164,200,,Thread Group 1-163,text,true,,315,324,693,693,http://localhost:8080/customer/add,471,0,96
1715687192926,469,HTTP Request 51,200,,Thread Group 1-52,text,true,,311,320,693,693,http://localhost:8080/customer/add,468,0,93
1715687192925,471,HTTP Request 178,200,,Thread Group 1-178,text,true,,315,324,693,693,http://localhost:8080/customer/add,471,0,96
1715687192924,472,HTTP Request 27,200,,Thread Group 1-27,text,true,,311,320,694,694,http://localhost:8080/customer/add,472,0,96
1715687193062,337,HTTP Request 360,200,,Thread Group 1-359,text,true,,315,324,695,695,http://localhost:8080/customer/add,337,0,1
1715687192925,474,HTTP Request 210,200,,Thread Group 1-210,text,true,,315,324,695,695,http://localhost:8080/customer/add,474,0,96
1715687192927,477,HTTP Request 84,200,,Thread Group 1-84,text,true,,311,320,703,703,http://localhost:8080/customer/add,477,0,93
1715687192974,430,HTTP Request 272,200,,Thread Group 1-272,text,true,,315,324,703,703,http://localhost:8080/customer/add,430,0,47
1715687193063,345,HTTP Request 361,200,,Thread Group 1-360,text,true,,315,324,706,706,http://localhost:8080/customer/add,345,0,0
1715687192929,480,HTTP Request 227,200,,Thread Group 1-226,text,true,,315,324,707,707,http://localhost:8080/customer/add,480,0,92
1715687192925,484,HTTP Request 125,200,,Thread Group 1-125,text,true,,315,324,707,707,http://localhost:8080/customer/add,484,0,96
1715687192925,488,HTTP Request 162,200,,Thread Group 1-162,text,true,,315,324,711,711,http://localhost:8080/customer/add,488,0,105
1715687192927,489,HTTP Request 139,200,,Thread Group 1-140,text,true,,315,324,713,713,http://localhost:8080/customer/add,489,0,94
1715687192925,491,HTTP Request 138,200,,Thread Group 1-138,text,true,,315,324,713,713,http://localhost:8080/customer/add,491,0,95
1715687193087,329,HTTP Request 386,200,,Thread Group 1-386,text,true,,315,324,713,713,http://localhost:8080/customer/add,329,0,1
1715687192948,468,HTTP Request 248,200,,Thread Group 1-248,text,true,,315,324,713,713,http://localhost:8080/customer/add,468,0,73
1715687192925,495,HTTP Request 173,200,,Thread Group 1-173,text,true,,315,324,719,719,http://localhost:8080/customer/add,495,0,97
1715687192925,496,HTTP Request 89,200,,Thread Group 1-90,text,true,,311,320,720,720,http://localhost:8080/customer/add,496,0,96
1715687192925,496,HTTP Request 198,200,,Thread Group 1-198,text,true,,315,324,720,720,http://localhost:8080/customer/add,496,0,97
1715687192929,497,HTTP Request 228,200,,Thread Group 1-227,text,true,,315,324,724,724,http://localhost:8080/customer/add,496,0,100
1715687193086,340,HTTP Request 384,200,,Thread Group 1-384,text,true,,315,324,724,724,http://localhost:8080/customer/add,340,0,1
1715687192964,463,HTTP Request 262,200,,Thread Group 1-262,text,true,,315,324,726,726,http://localhost:8080/customer/add,463,0,58
1715687192924,508,HTTP Request 39,200,,Thread Group 1-39,text,true,,311,320,731,731,http://localhost:8080/customer/add,508,0,97
1715687192924,508,HTTP Request 11,200,,Thread Group 1-11,text,true,,311,320,732,732,http://localhost:8080/customer/add,508,0,97
1715687193150,283,HTTP Request 450,200,,Thread Group 1-450,text,true,,315,324,732,732,http://localhost:8080/customer/add,283,0,1
1715687193094,340,HTTP Request 391,200,,Thread Group 1-391,text,true,,315,324,732,732,http://localhost:8080/customer/add,339,0,1
1715687193062,378,HTTP Request 358,200,,Thread Group 1-358,text,true,,315,324,739,739,http://localhost:8080/customer/add,371,0,1
1715687192970,470,HTTP Request 267,200,,Thread Group 1-265,text,true,,315,324,739,739,http://localhost:8080/customer/add,470,0,51
1715687192925,516,HTTP Request 166,200,,Thread Group 1-167,text,true,,315,324,739,739,http://localhost:8080/customer/add,516,0,96
1715687192926,519,HTTP Request 5,200,,Thread Group 1-4,text,true,,307,316,744,744,http://localhost:8080/customer/add,519,0,94
1715687193117,329,HTTP Request 414,200,,Thread Group 1-415,text,true,,315,324,744,744,http://localhost:8080/customer/add,329,0,1
1715687193098,351,HTTP Request 395,200,,Thread Group 1-395,text,true,,315,324,747,747,http://localhost:8080/customer/add,351,0,1
1715687193085,366,HTTP Request 383,200,,Thread Group 1-383,text,true,,315,324,749,749,http://localhost:8080/customer/add,366,0,0
1715687192951,500,HTTP Request 249,200,,Thread Group 1-249,text,true,,315,324,749,749,http://localhost:8080/customer/add,500,0,70
1715687192948,505,HTTP Request 247,200,,Thread Group 1-247,text,true,,315,324,751,751,http://localhost:8080/customer/add,504,0,81
1715687192979,474,HTTP Request 276,200,,Thread Group 1-276,text,true,,315,324,751,751,http://localhost:8080/customer/add,474,0,49
1715687193123,335,HTTP Request 420,200,,Thread Group 1-421,text,true,,315,324,755,755,http://localhost:8080/customer/add,335,0,1
1715687192941,521,HTTP Request 239,200,,Thread Group 1-239,text,true,,315,324,760,760,http://localhost:8080/customer/add,520,0,81
1715687193062,400,HTTP Request 359,200,,Thread Group 1-361,text,true,,315,324,760,760,http://localhost:8080/customer/add,400,0,1
1715687192926,551,HTTP Request 46,200,,Thread Group 1-46,text,true,,311,320,776,776,http://localhost:8080/customer/add,548,0,94
1715687193077,402,HTTP Request 374,200,,Thread Group 1-375,text,true,,315,324,776,776,http://localhost:8080/customer/add,402,0,1
1715687193136,343,HTTP Request 434,200,,Thread Group 1-434,text,true,,315,324,776,776,http://localhost:8080/customer/add,343,0,1
1715687193139,340,HTTP Request 435,200,,Thread Group 1-435,text,true,,315,324,776,776,http://localhost:8080/customer/add,340,0,1
1715687192926,553,HTTP Request 61,200,,Thread Group 1-61,text,true,,311,320,777,777,http://localhost:8080/customer/add,552,0,95
1715687193139,341,HTTP Request 436,200,,Thread Group 1-437,text,true,,315,324,777,777,http://localhost:8080/customer/add,341,0,1
1715687193080,401,HTTP Request 377,200,,Thread Group 1-377,text,true,,315,324,777,777,http://localhost:8080/customer/add,382,0,2
1715687192925,557,HTTP Request 163,200,,Thread Group 1-164,text,true,,315,324,779,779,http://localhost:8080/customer/add,556,0,96
1715687193103,383,HTTP Request 400,200,,Thread Group 1-401,text,true,,315,324,784,784,http://localhost:8080/customer/add,380,0,1
1715687193049,437,HTTP Request 346,200,,Thread Group 1-346,text,true,,315,324,784,784,http://localhost:8080/customer/add,437,0,2
1715687192925,561,HTTP Request 135,200,,Thread Group 1-135,text,true,,315,324,784,784,http://localhost:8080/customer/add,561,0,97
1715687192925,563,HTTP Request 217,200,,Thread Group 1-219,text,true,,315,324,786,786,http://localhost:8080/customer/add,559,0,104
1715687192988,501,HTTP Request 287,200,,Thread Group 1-286,text,true,,315,324,787,787,http://localhost:8080/customer/add,500,0,34
1715687193116,374,HTTP Request 413,200,,Thread Group 1-413,text,true,,315,324,789,789,http://localhost:8080/customer/add,374,0,2
1715687192933,557,HTTP Request 231,200,,Thread Group 1-231,text,true,,315,324,789,789,http://localhost:8080/customer/add,557,0,88
1715687193009,484,HTTP Request 308,200,,Thread Group 1-307,text,true,,315,324,791,791,http://localhost:8080/customer/add,484,0,12
1715687193121,372,HTTP Request 419,200,,Thread Group 1-419,text,true,,315,324,791,791,http://localhost:8080/customer/add,372,0,1
1715687192926,566,HTTP Request 29,200,,Thread Group 1-29,text,true,,311,320,792,792,http://localhost:8080/customer/add,566,0,101
1715687193115,381,HTTP Request 412,200,,Thread Group 1-412,text,true,,315,324,795,795,http://localhost:8080/customer/add,380,0,0
1715687193062,438,HTTP Request 357,200,,Thread Group 1-357,text,true,,315,324,799,799,http://localhost:8080/customer/add,438,0,1
1715687192924,577,HTTP Request 34,200,,Thread Group 1-34,text,true,,311,320,800,800,http://localhost:8080/customer/add,577,0,97
1715687192924,579,HTTP Request 36,200,,Thread Group 1-36,text,true,,311,320,801,801,http://localhost:8080/customer/add,577,0,104
1715687192954,553,HTTP Request 252,200,,Thread Group 1-252,text,true,,315,324,805,805,http://localhost:8080/customer/add,553,0,68
1715687193077,430,HTTP Request 375,200,,Thread Group 1-374,text,true,,315,324,805,805,http://localhost:8080/customer/add,430,0,1
1715687192924,583,HTTP Request 4,200,,Thread Group 1-6,text,true,,307,316,806,806,http://localhost:8080/customer/add,580,0,103
1715687192925,584,HTTP Request 153,200,,Thread Group 1-154,text,true,,315,324,806,806,http://localhost:8080/customer/add,584,0,105
